id,image,component,severity,start_date,end_date,delta_days,min_remediated_days,status
GHSA-4h8f-2wvx-gg5w,cgr.dev/chainguard/keycloak:latest,bcprov-jdk18on 1.77,low,2024-05-04 05:03:53.073,Not Observed,NA,26.67,No Advisory
GHSA-m44j-cfrm-g8qc,cgr.dev/chainguard/keycloak:latest,bcpkix-jdk18on 1.77,medium,2024-05-15 05:03:44.045,Not Observed,NA,15.67,No Advisory
GHSA-v435-xc8x-wvr9,cgr.dev/chainguard/keycloak:latest,bcprov-jdk18on 1.77,medium,2024-05-15 05:03:44.045,Not Observed,NA,15.67,No Advisory
GHSA-8xfc-gm6g-vgpv,cgr.dev/chainguard/keycloak:latest,bcprov-jdk18on 1.77,medium,2024-05-15 05:03:44.045,Not Observed,NA,15.67,No Advisory
GHSA-v435-xc8x-wvr9,cgr.dev/chainguard/keycloak:latest,bcpkix-jdk18on 1.77,medium,2024-05-15 05:03:44.045,Not Observed,NA,15.67,No Advisory
GHSA-8xfc-gm6g-vgpv,cgr.dev/chainguard/keycloak:latest,bcpkix-jdk18on 1.77,medium,2024-05-15 05:03:44.045,Not Observed,NA,15.67,No Advisory
GHSA-m44j-cfrm-g8qc,cgr.dev/chainguard/keycloak:latest,bcprov-jdk18on 1.77,medium,2024-05-15 05:03:44.045,Not Observed,NA,15.67,No Advisory
GHSA-25w4-hfqg-4r52,cgr.dev/chainguard/keycloak:latest,quarkus-resteasy-reactive-common-deployment 3.8.4,medium,2024-05-15 19:03:16.501,Not Observed,NA,15.08,No Advisory
GHSA-25w4-hfqg-4r52,cgr.dev/chainguard/keycloak:latest,quarkus-resteasy-reactive-common 3.8.4,medium,2024-05-15 19:03:16.501,Not Observed,NA,15.08,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/flux-helm-controller:latest,golang.org/x/net v0.20.0,medium,2024-04-20 05:03:59.737,2024-05-15 19:02:16.508,25.58,25.58,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/trillian-logsigner:latest,golang.org/x/net v0.21.0,medium,2024-04-20 05:04:15.591,2024-05-06 22:05:15.117,16.71,16.71,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/fulcio:latest,golang.org/x/net v0.22.0,medium,2024-04-20 05:04:34.603,2024-05-15 19:02:21.514,25.58,25.58,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/keda-adapter:latest,golang.org/x/net v0.19.0,medium,2024-04-24 16:04:10.243,2024-05-15 19:02:29.515,21.12,21.12,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/keda:latest,golang.org/x/net v0.19.0,medium,2024-04-20 05:04:11.187,2024-05-15 19:02:32.875,25.58,25.58,No Advisory
GHSA-jjg7-2v4v-x38h,cgr.dev/chainguard/kubeflow-jupyter-web-app:latest,idna 3.6,medium,2024-04-12 05:03:49.409,2024-05-15 19:02:42.510,33.58,33.58,No Advisory
GHSA-84pr-m4jr-85g5,cgr.dev/chainguard/kubeflow-jupyter-web-app:latest,flask-cors 4.0.0,medium,2024-05-03 05:04:19.640,2024-05-22 12:02:46.532,19.29,19.29,No Advisory
GHSA-h75v-3vvj-5mfj,cgr.dev/chainguard/kubeflow-jupyter-web-app:latest,jinja2 3.1.3,medium,2024-05-07 05:03:30.434,2024-05-22 12:02:46.532,15.29,15.29,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/kubeflow-katib-controller:latest,golang.org/x/net v0.17.0,medium,2024-04-20 05:06:10.154,2024-05-15 19:02:44.520,25.58,25.58,No Advisory
GHSA-4v7x-pqxf-cx7m,cgr.dev/chainguard/memcached-exporter:latest,golang.org/x/net v0.22.0,medium,2024-04-20 05:05:37.897,2024-05-08 01:04:19.510,17.83,17.83,No Advisory
