id,severity,registry,repository,tag,labels,first_seen_at,remediated_at
CVE-2023-38546,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-1127,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3999,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-3256,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-17985,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-3705,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-48303,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-39615,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3445,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-17543,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-12900,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-9936,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-17595,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-20703,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-24593,unknown,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-35507,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-4285,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-4899,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-32891,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2125,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-27776,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3572,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2344,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-2610,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-28322,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-20623,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-8905,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-37750,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2928,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-38177,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-23308,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-0466,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-48232,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-12641,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-38533,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-22922,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-4734,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-18606,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-9923,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-22824,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2343,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-22923,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2287,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-3446,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2849,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-33560,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-1972,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-1292,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-27782,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2929,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-4738,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-33928,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-12904,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-40303,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-34903,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-35527,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-48231,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2005-2541,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2024-0553,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2845,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2207,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-18309,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-25235,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-27774,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-1154,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-1304,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-20786,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3537,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-25585,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-23219,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-17360,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-36086,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-46246,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-1927,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-3094,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-7216,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-18483,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-23916,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-20193,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-3821,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2019-19603,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-1586,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-27943,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-2828,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-33574,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3521,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-14155,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3826,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-28153,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-43680,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-18605,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-38185,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-42011,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-20271,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-2609,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2007-4559,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-7104,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-20197,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-12934,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-37920,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-24370,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-3518,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-32636,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-27645,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-1619,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-20673,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-32208,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2126,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-4189,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2526,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-27219,high,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-23177,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-4016,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2018-1000876,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2023-48233,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2024-25062,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2024-28835,medium,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2022-2182,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2021-22925,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
CVE-2020-19185,low,docker.io,centos,latest,docker-official,1711138341.9373162,1711141278.2424324
